"Notes"	"State of Residence"	"State of Residence Code"	"Year"	"Year Code"	"Month"	"Month Code"	Births
	"Alabama"	"01"	"2020"	"2020"	"January"	"1"	4955
	"Alabama"	"01"	"2020"	"2020"	"February"	"2"	4449
	"Alabama"	"01"	"2020"	"2020"	"March"	"3"	4775
	"Alabama"	"01"	"2020"	"2020"	"April"	"4"	4567
	"Alabama"	"01"	"2020"	"2020"	"May"	"5"	4510
	"Alabama"	"01"	"2020"	"2020"	"June"	"6"	4799
	"Alabama"	"01"	"2020"	"2020"	"July"	"7"	5224
	"Alabama"	"01"	"2020"	"2020"	"August"	"8"	5201
	"Alabama"	"01"	"2020"	"2020"	"September"	"9"	5001
	"Alabama"	"01"	"2020"	"2020"	"October"	"10"	4777
	"Alabama"	"01"	"2020"	"2020"	"November"	"11"	4484
	"Alabama"	"01"	"2020"	"2020"	"December"	"12"	4905
"Total"	"Alabama"	"01"	"2020"	"2020"			57647
	"Alabama"	"01"	"2021"	"2021"	"January"	"1"	4553
	"Alabama"	"01"	"2021"	"2021"	"February"	"2"	4385
	"Alabama"	"01"	"2021"	"2021"	"March"	"3"	4756
	"Alabama"	"01"	"2021"	"2021"	"April"	"4"	4519
	"Alabama"	"01"	"2021"	"2021"	"May"	"5"	4512
	"Alabama"	"01"	"2021"	"2021"	"June"	"6"	4930
	"Alabama"	"01"	"2021"	"2021"	"July"	"7"	5154
	"Alabama"	"01"	"2021"	"2021"	"August"	"8"	5172
	"Alabama"	"01"	"2021"	"2021"	"September"	"9"	5147
	"Alabama"	"01"	"2021"	"2021"	"October"	"10"	4968
	"Alabama"	"01"	"2021"	"2021"	"November"	"11"	4900
	"Alabama"	"01"	"2021"	"2021"	"December"	"12"	5058
"Total"	"Alabama"	"01"	"2021"	"2021"			58054
	"Alabama"	"01"	"2022"	"2022"	"January"	"1"	4808
	"Alabama"	"01"	"2022"	"2022"	"February"	"2"	4383
	"Alabama"	"01"	"2022"	"2022"	"March"	"3"	4806
	"Alabama"	"01"	"2022"	"2022"	"April"	"4"	4456
	"Alabama"	"01"	"2022"	"2022"	"May"	"5"	4588
	"Alabama"	"01"	"2022"	"2022"	"June"	"6"	4709
	"Alabama"	"01"	"2022"	"2022"	"July"	"7"	5006
	"Alabama"	"01"	"2022"	"2022"	"August"	"8"	5494
	"Alabama"	"01"	"2022"	"2022"	"September"	"9"	5053
	"Alabama"	"01"	"2022"	"2022"	"October"	"10"	4839
	"Alabama"	"01"	"2022"	"2022"	"November"	"11"	4919
	"Alabama"	"01"	"2022"	"2022"	"December"	"12"	5088
"Total"	"Alabama"	"01"	"2022"	"2022"			58149
"Total"	"Alabama"	"01"					173850
	"Alaska"	"02"	"2020"	"2020"	"January"	"1"	818
	"Alaska"	"02"	"2020"	"2020"	"February"	"2"	717
	"Alaska"	"02"	"2020"	"2020"	"March"	"3"	777
	"Alaska"	"02"	"2020"	"2020"	"April"	"4"	758
	"Alaska"	"02"	"2020"	"2020"	"May"	"5"	832
	"Alaska"	"02"	"2020"	"2020"	"June"	"6"	810
	"Alaska"	"02"	"2020"	"2020"	"July"	"7"	777
	"Alaska"	"02"	"2020"	"2020"	"August"	"8"	782
	"Alaska"	"02"	"2020"	"2020"	"September"	"9"	820
