"Notes"	"State of Residence"	"State of Residence Code"	"Year"	"Year Code"	"Month"	"Month Code"	Births
	"Alaska"	"02"	"2020"	"2020"	"October"	"10"	805
	"Alaska"	"02"	"2020"	"2020"	"November"	"11"	768
	"Alaska"	"02"	"2020"	"2020"	"December"	"12"	805
"Total"	"Alaska"	"02"	"2020"	"2020"			9469
	"Alaska"	"02"	"2021"	"2021"	"January"	"1"	746
	"Alaska"	"02"	"2021"	"2021"	"February"	"2"	662
	"Alaska"	"02"	"2021"	"2021"	"March"	"3"	800
	"Alaska"	"02"	"2021"	"2021"	"April"	"4"	815
	"Alaska"	"02"	"2021"	"2021"	"May"	"5"	860
	"Alaska"	"02"	"2021"	"2021"	"June"	"6"	809
	"Alaska"	"02"	"2021"	"2021"	"July"	"7"	861
	"Alaska"	"02"	"2021"	"2021"	"August"	"8"	820
	"Alaska"	"02"	"2021"	"2021"	"September"	"9"	831
	"Alaska"	"02"	"2021"	"2021"	"October"	"10"	739
	"Alaska"	"02"	"2021"	"2021"	"November"	"11"	704
	"Alaska"	"02"	"2021"	"2021"	"December"	"12"	720
"Total"	"Alaska"	"02"	"2021"	"2021"			9367
	"Alaska"	"02"	"2022"	"2022"	"January"	"1"	734
	"Alaska"	"02"	"2022"	"2022"	"February"	"2"	720
	"Alaska"	"02"	"2022"	"2022"	"March"	"3"	833
	"Alaska"	"02"	"2022"	"2022"	"April"	"4"	779
	"Alaska"	"02"	"2022"	"2022"	"May"	"5"	798
	"Alaska"	"02"	"2022"	"2022"	"June"	"6"	816
	"Alaska"	"02"	"2022"	"2022"	"July"	"7"	812
	"Alaska"	"02"	"2022"	"2022"	"August"	"8"	826
	"Alaska"	"02"	"2022"	"2022"	"September"	"9"	797
	"Alaska"	"02"	"2022"	"2022"	"October"	"10"	766
	"Alaska"	"02"	"2022"	"2022"	"November"	"11"	725
	"Alaska"	"02"	"2022"	"2022"	"December"	"12"	753
"Total"	"Alaska"	"02"	"2022"	"2022"			9359
"Total"	"Alaska"	"02"					28195
	"Arizona"	"04"	"2020"	"2020"	"January"	"1"	6703
	"Arizona"	"04"	"2020"	"2020"	"February"	"2"	6274
	"Arizona"	"04"	"2020"	"2020"	"March"	"3"	6374
	"Arizona"	"04"	"2020"	"2020"	"April"	"4"	5970
	"Arizona"	"04"	"2020"	"2020"	"May"	"5"	6036
	"Arizona"	"04"	"2020"	"2020"	"June"	"6"	6084
	"Arizona"	"04"	"2020"	"2020"	"July"	"7"	6772
	"Arizona"	"04"	"2020"	"2020"	"August"	"8"	6700
	"Arizona"	"04"	"2020"	"2020"	"September"	"9"	6741
	"Arizona"	"04"	"2020"	"2020"	"October"	"10"	6646
	"Arizona"	"04"	"2020"	"2020"	"November"	"11"	6202
	"Arizona"	"04"	"2020"	"2020"	"December"	"12"	6445
"Total"	"Arizona"	"04"	"2020"	"2020"			76947
	"Arizona"	"04"	"2021"	"2021"	"January"	"1"	6173
	"Arizona"	"04"	"2021"	"2021"	"February"	"2"	5616
	"Arizona"	"04"	"2021"	"2021"	"March"	"3"	6011
	"Arizona"	"04"	"2021"	"2021"	"April"	"4"	6030
	"Arizona"	"04"	"2021"	"2021"	"May"	"5"	6060
	"Arizona"	"04"	"2021"	"2021"	"June"	"6"	6223
	"Arizona"	"04"	"2021"	"2021"	"July"	"7"	6908
	"Arizona"	"04"	"2021"	"2021"	"August"	"8"	7112
	"Arizona"	"04"	"2021"	"2021"	"September"	"9"	7099
	"Arizona"	"04"	"2021"	"2021"	"October"	"10"	7054
	"Arizona"	"04"	"2021"	"2021"	"November"	"11"	6681
	"Arizona"	"04"	"2021"	"2021"	"December"	"12"	6949
"Total"	"Arizona"	"04"	"2021"	"2021"			77916
	"Arizona"	"04"	"2022"	"2022"	"January"	"1"	6575
	"Arizona"	"04"	"2022"	"2022"	"February"	"2"	6007
	"Arizona"	"04"	"2022"	"2022"	"March"	"3"	6484
	"Arizona"	"04"	"2022"	"2022"	"April"	"4"	5957
	"Arizona"	"04"	"2022"	"2022"	"May"	"5"	6005
	"Arizona"	"04"	"2022"	"2022"	"June"	"6"	6268
	"Arizona"	"04"	"2022"	"2022"	"July"	"7"	6740
	"Arizona"	"04"	"2022"	"2022"	"August"	"8"	7114
	"Arizona"	"04"	"2022"	"2022"	"September"	"9"	6847
	"Arizona"	"04"	"2022"	"2022"	"October"	"10"	6660
	"Arizona"	"04"	"2022"	"2022"	"November"	"11"	6841
	"Arizona"	"04"	"2022"	"2022"	"December"	"12"	7049
"Total"	"Arizona"	"04"	"2022"	"2022"			78547
"Total"	"Arizona"	"04"					233410
	"Arkansas"	"05"	"2020"	"2020"	"January"	"1"	2956
	"Arkansas"	"05"	"2020"	"2020"	"February"	"2"	2760
	"Arkansas"	"05"	"2020"	"2020"	"March"	"3"	2950
	"Arkansas"	"05"	"2020"	"2020"	"April"	"4"	2855
	"Arkansas"	"05"	"2020"	"2020"	"May"	"5"	2820
	"Arkansas"	"05"	"2020"	"2020"	"June"	"6"	2853
	"Arkansas"	"05"	"2020"	"2020"	"July"	"7"	3115
	"Arkansas"	"05"	"2020"	"2020"	"August"	"8"	3126
	"Arkansas"	"05"	"2020"	"2020"	"September"	"9"	3099
	"Arkansas"	"05"	"2020"	"2020"	"October"	"10"	3020
	"Arkansas"	"05"	"2020"	"2020"	"November"	"11"	2740
	"Arkansas"	"05"	"2020"	"2020"	"December"	"12"	2957
"Total"	"Arkansas"	"05"	"2020"	"2020"			35251
	"Arkansas"	"05"	"2021"	"2021"	"January"	"1"	2833
	"Arkansas"	"05"	"2021"	"2021"	"February"	"2"	2623
	"Arkansas"	"05"	"2021"	"2021"	"March"	"3"	3005
	"Arkansas"	"05"	"2021"	"2021"	"April"	"4"	2679
	"Arkansas"	"05"	"2021"	"2021"	"May"	"5"	2759
	"Arkansas"	"05"	"2021"	"2021"	"June"	"6"	3018
	"Arkansas"	"05"	"2021"	"2021"	"July"	"7"	3181
	"Arkansas"	"05"	"2021"	"2021"	"August"	"8"	3357
	"Arkansas"	"05"	"2021"	"2021"	"September"	"9"	3264
	"Arkansas"	"05"	"2021"	"2021"	"October"	"10"	3110
	"Arkansas"	"05"	"2021"	"2021"	"November"	"11"	2960
	"Arkansas"	"05"	"2021"	"2021"	"December"	"12"	3176
"Total"	"Arkansas"	"05"	"2021"	"2021"			35965
	"Arkansas"	"05"	"2022"	"2022"	"January"	"1"	2822
	"Arkansas"	"05"	"2022"	"2022"	"February"	"2"	2775
	"Arkansas"	"05"	"2022"	"2022"	"March"	"3"	2995
	"Arkansas"	"05"	"2022"	"2022"	"April"	"4"	2722
	"Arkansas"	"05"	"2022"	"2022"	"May"	"5"	2805
	"Arkansas"	"05"	"2022"	"2022"	"June"	"6"	2995
	"Arkansas"	"05"	"2022"	"2022"	"July"	"7"	3032
	"Arkansas"	"05"	"2022"	"2022"	"August"	"8"	3250
	"Arkansas"	"05"	"2022"	"2022"	"September"	"9"	3073
	"Arkansas"	"05"	"2022"	"2022"	"October"	"10"	2869
	"Arkansas"	"05"	"2022"	"2022"	"November"	"11"	2964
	"Arkansas"	"05"	"2022"	"2022"	"December"	"12"	3169
"Total"	"Arkansas"	"05"	"2022"	"2022"			35471
"Total"	"Arkansas"	"05"					106687
	"California"	"06"	"2020"	"2020"	"January"	"1"	35954
	"California"	"06"	"2020"	"2020"	"February"	"2"	33196
	"California"	"06"	"2020"	"2020"	"March"	"3"	34920
	"California"	"06"	"2020"	"2020"	"April"	"4"	33748
	"California"	"06"	"2020"	"2020"	"May"	"5"	34908
	"California"	"06"	"2020"	"2020"	"June"	"6"	34437
	"California"	"06"	"2020"	"2020"	"July"	"7"	37190
	"California"	"06"	"2020"	"2020"	"August"	"8"	37185
	"California"	"06"	"2020"	"2020"	"September"	"9"	36387
	"California"	"06"	"2020"	"2020"	"October"	"10"	35932
	"California"	"06"	"2020"	"2020"	"November"	"11"	33342
	"California"	"06"	"2020"	"2020"	"December"	"12"	33060
"Total"	"California"	"06"	"2020"	"2020"			420259
	"California"	"06"	"2021"	"2021"	"January"	"1"	31919
	"California"	"06"	"2021"	"2021"	"February"	"2"	30054
	"California"	"06"	"2021"	"2021"	"March"	"3"	34599
	"California"	"06"	"2021"	"2021"	"April"	"4"	33443
	"California"	"06"	"2021"	"2021"	"May"	"5"	34330
	"California"	"06"	"2021"	"2021"	"June"	"6"	34913
	"California"	"06"	"2021"	"2021"	"July"	"7"	36434
	"California"	"06"	"2021"	"2021"	"August"	"8"	38341
	"California"	"06"	"2021"	"2021"	"September"	"9"	37438
	"California"	"06"	"2021"	"2021"	"October"	"10"	37057
	"California"	"06"	"2021"	"2021"	"November"	"11"	35439
	"California"	"06"	"2021"	"2021"	"December"	"12"	36641
"Total"	"California"	"06"	"2021"	"2021"			420608
	"California"	"06"	"2022"	"2022"	"January"	"1"	34502
	"California"	"06"	"2022"	"2022"	"February"	"2"	31954
	"California"	"06"	"2022"	"2022"	"March"	"3"	35395
	"California"	"06"	"2022"	"2022"	"April"	"4"	32572
	"California"	"06"	"2022"	"2022"	"May"	"5"	34022
	"California"	"06"	"2022"	"2022"	"June"	"6"	34190
	"California"	"06"	"2022"	"2022"	"July"	"7"	36632
	"California"	"06"	"2022"	"2022"	"August"	"8"	37863
	"California"	"06"	"2022"	"2022"	"September"	"9"	35919
	"California"	"06"	"2022"	"2022"	"October"	"10"	35393
	"California"	"06"	"2022"	"2022"	"November"	"11"	35121
	"California"	"06"	"2022"	"2022"	"December"	"12"	35541
"Total"	"California"	"06"	"2022"	"2022"			419104
"Total"	"California"	"06"					1259971
	"Colorado"	"08"	"2020"	"2020"	"January"	"1"	4984
	"Colorado"	"08"	"2020"	"2020"	"February"	"2"	4711
	"Colorado"	"08"	"2020"	"2020"	"March"	"3"	5283
	"Colorado"	"08"	"2020"	"2020"	"April"	"4"	5104
	"Colorado"	"08"	"2020"	"2020"	"May"	"5"	5268
	"Colorado"	"08"	"2020"	"2020"	"June"	"6"	5174
	"Colorado"	"08"	"2020"	"2020"	"July"	"7"	5506
	"Colorado"	"08"	"2020"	"2020"	"August"	"8"	5408
	"Colorado"	"08"	"2020"	"2020"	"September"	"9"	5249
	"Colorado"	"08"	"2020"	"2020"	"October"	"10"	5234
	"Colorado"	"08"	"2020"	"2020"	"November"	"11"	4775
	"Colorado"	"08"	"2020"	"2020"	"December"	"12"	4798
"Total"	"Colorado"	"08"	"2020"	"2020"			61494
	"Colorado"	"08"	"2021"	"2021"	"January"	"1"	4675
	"Colorado"	"08"	"2021"	"2021"	"February"	"2"	4784
	"Colorado"	"08"	"2021"	"2021"	"March"	"3"	5277
	"Colorado"	"08"	"2021"	"2021"	"April"	"4"	5335
	"Colorado"	"08"	"2021"	"2021"	"May"	"5"	5422
	"Colorado"	"08"	"2021"	"2021"	"June"	"6"	5524
	"Colorado"	"08"	"2021"	"2021"	"July"	"7"	5605
	"Colorado"	"08"	"2021"	"2021"	"August"	"8"	5648
	"Colorado"	"08"	"2021"	"2021"	"September"	"9"	5371
	"Colorado"	"08"	"2021"	"2021"	"October"	"10"	5287
	"Colorado"	"08"	"2021"	"2021"	"November"	"11"	4983
	"Colorado"	"08"	"2021"	"2021"	"December"	"12"	5038
"Total"	"Colorado"	"08"	"2021"	"2021"			62949
	"Colorado"	"08"	"2022"	"2022"	"January"	"1"	4888
	"Colorado"	"08"	"2022"	"2022"	"February"	"2"	4630
	"Colorado"	"08"	"2022"	"2022"	"March"	"3"	5274
	"Colorado"	"08"	"2022"	"2022"	"April"	"4"	5081
	"Colorado"	"08"	"2022"	"2022"	"May"	"5"	5389
	"Colorado"	"08"	"2022"	"2022"	"June"	"6"	5322
	"Colorado"	"08"	"2022"	"2022"	"July"	"7"	5536
	"Colorado"	"08"	"2022"	"2022"	"August"	"8"	5502
	"Colorado"	"08"	"2022"	"2022"	"September"	"9"	5219
	"Colorado"	"08"	"2022"	"2022"	"October"	"10"	5408
	"Colorado"	"08"	"2022"	"2022"	"November"	"11"	5040
	"Colorado"	"08"	"2022"	"2022"	"December"	"12"	5094
"Total"	"Colorado"	"08"	"2022"	"2022"			62383
"Total"	"Colorado"	"08"					186826
	"Connecticut"	"09"	"2020"	"2020"	"January"	"1"	2795
	"Connecticut"	"09"	"2020"	"2020"	"February"	"2"	2496
	"Connecticut"	"09"	"2020"	"2020"	"March"	"3"	2859
	"Connecticut"	"09"	"2020"	"2020"	"April"	"4"	2734
	"Connecticut"	"09"	"2020"	"2020"	"May"	"5"	2851
	"Connecticut"	"09"	"2020"	"2020"	"June"	"6"	2882
	"Connecticut"	"09"	"2020"	"2020"	"July"	"7"	3014
	"Connecticut"	"09"	"2020"	"2020"	"August"	"8"	3016
	"Connecticut"	"09"	"2020"	"2020"	"September"	"9"	2896
	"Connecticut"	"09"	"2020"	"2020"	"October"	"10"	2836
	"Connecticut"	"09"	"2020"	"2020"	"November"	"11"	2530
	"Connecticut"	"09"	"2020"	"2020"	"December"	"12"	2551
"Total"	"Connecticut"	"09"	"2020"	"2020"			33460
	"Connecticut"	"09"	"2021"	"2021"	"January"	"1"	2417
	"Connecticut"	"09"	"2021"	"2021"	"February"	"2"	2543
	"Connecticut"	"09"	"2021"	"2021"	"March"	"3"	3007
	"Connecticut"	"09"	"2021"	"2021"	"April"	"4"	2975
	"Connecticut"	"09"	"2021"	"2021"	"May"	"5"	3059
	"Connecticut"	"09"	"2021"	"2021"	"June"	"6"	3114
	"Connecticut"	"09"	"2021"	"2021"	"July"	"7"	3246
	"Connecticut"	"09"	"2021"	"2021"	"August"	"8"	3323
	"Connecticut"	"09"	"2021"	"2021"	"September"	"9"	3245
	"Connecticut"	"09"	"2021"	"2021"	"October"	"10"	2990
	"Connecticut"	"09"	"2021"	"2021"	"November"	"11"	2850
	"Connecticut"	"09"	"2021"	"2021"	"December"	"12"	2901
"Total"	"Connecticut"	"09"	"2021"	"2021"			35670
	"Connecticut"	"09"	"2022"	"2022"	"January"	"1"	2694
	"Connecticut"	"09"	"2022"	"2022"	"February"	"2"	2576
	"Connecticut"	"09"	"2022"	"2022"	"March"	"3"	3007
	"Connecticut"	"09"	"2022"	"2022"	"April"	"4"	2881
	"Connecticut"	"09"	"2022"	"2022"	"May"	"5"	2953
	"Connecticut"	"09"	"2022"	"2022"	"June"	"6"	2980
	"Connecticut"	"09"	"2022"	"2022"	"July"	"7"	3153
	"Connecticut"	"09"	"2022"	"2022"	"August"	"8"	3243
	"Connecticut"	"09"	"2022"	"2022"	"September"	"9"	2996
	"Connecticut"	"09"	"2022"	"2022"	"October"	"10"	2937
	"Connecticut"	"09"	"2022"	"2022"	"November"	"11"	2930
	"Connecticut"	"09"	"2022"	"2022"	"December"	"12"	2982
"Total"	"Connecticut"	"09"	"2022"	"2022"			35332
"Total"	"Connecticut"	"09"					104462
	"Delaware"	"10"	"2020"	"2020"	"January"	"1"	830
	"Delaware"	"10"	"2020"	"2020"	"February"	"2"	799
	"Delaware"	"10"	"2020"	"2020"	"March"	"3"	854
	"Delaware"	"10"	"2020"	"2020"	"April"	"4"	805
	"Delaware"	"10"	"2020"	"2020"	"May"	"5"	879
	"Delaware"	"10"	"2020"	"2020"	"June"	"6"	894
	"Delaware"	"10"	"2020"	"2020"	"July"	"7"	926
	"Delaware"	"10"	"2020"	"2020"	"August"	"8"	961
	"Delaware"	"10"	"2020"	"2020"	"September"	"9"	928
	"Delaware"	"10"	"2020"	"2020"	"October"	"10"	904
	"Delaware"	"10"	"2020"	"2020"	"November"	"11"	783
	"Delaware"	"10"	"2020"	"2020"	"December"	"12"	829
"Total"	"Delaware"	"10"	"2020"	"2020"			10392
	"Delaware"	"10"	"2021"	"2021"	"January"	"1"	739
	"Delaware"	"10"	"2021"	"2021"	"February"	"2"	688
	"Delaware"	"10"	"2021"	"2021"	"March"	"3"	818
	"Delaware"	"10"	"2021"	"2021"	"April"	"4"	852
	"Delaware"	"10"	"2021"	"2021"	"May"	"5"	854
	"Delaware"	"10"	"2021"	"2021"	"June"	"6"	914
	"Delaware"	"10"	"2021"	"2021"	"July"	"7"	999
	"Delaware"	"10"	"2021"	"2021"	"August"	"8"	918
	"Delaware"	"10"	"2021"	"2021"	"September"	"9"	1023
	"Delaware"	"10"	"2021"	"2021"	"October"	"10"	942
	"Delaware"	"10"	"2021"	"2021"	"November"	"11"	854
	"Delaware"	"10"	"2021"	"2021"	"December"	"12"	881
"Total"	"Delaware"	"10"	"2021"	"2021"			10482
	"Delaware"	"10"	"2022"	"2022"	"January"	"1"	894
	"Delaware"	"10"	"2022"	"2022"	"February"	"2"	812
	"Delaware"	"10"	"2022"	"2022"	"March"	"3"	941
	"Delaware"	"10"	"2022"	"2022"	"April"	"4"	801
	"Delaware"	"10"	"2022"	"2022"	"May"	"5"	870
	"Delaware"	"10"	"2022"	"2022"	"June"	"6"	930
	"Delaware"	"10"	"2022"	"2022"	"July"	"7"	1015
	"Delaware"	"10"	"2022"	"2022"	"August"	"8"	1010
	"Delaware"	"10"	"2022"	"2022"	"September"	"9"	889
	"Delaware"	"10"	"2022"	"2022"	"October"	"10"	869
	"Delaware"	"10"	"2022"	"2022"	"November"	"11"	898
	"Delaware"	"10"	"2022"	"2022"	"December"	"12"	887
"Total"	"Delaware"	"10"	"2022"	"2022"			10816
"Total"	"Delaware"	"10"					31690
	"District of Columbia"	"11"	"2020"	"2020"	"January"	"1"	793
	"District of Columbia"	"11"	"2020"	"2020"	"February"	"2"	715
	"District of Columbia"	"11"	"2020"	"2020"	"March"	"3"	774
	"District of Columbia"	"11"	"2020"	"2020"	"April"	"4"	685
	"District of Columbia"	"11"	"2020"	"2020"	"May"	"5"	728
	"District of Columbia"	"11"	"2020"	"2020"	"June"	"6"	775
	"District of Columbia"	"11"	"2020"	"2020"	"July"	"7"	762
	"District of Columbia"	"11"	"2020"	"2020"	"August"	"8"	769
	"District of Columbia"	"11"	"2020"	"2020"	"September"	"9"	736
	"District of Columbia"	"11"	"2020"	"2020"	"October"	"10"	739
	"District of Columbia"	"11"	"2020"	"2020"	"November"	"11"	688
	"District of Columbia"	"11"	"2020"	"2020"	"December"	"12"	710
"Total"	"District of Columbia"	"11"	"2020"	"2020"			8874
	"District of Columbia"	"11"	"2021"	"2021"	"January"	"1"	712
	"District of Columbia"	"11"	"2021"	"2021"	"February"	"2"	627
	"District of Columbia"	"11"	"2021"	"2021"	"March"	"3"	702
	"District of Columbia"	"11"	"2021"	"2021"	"April"	"4"	664
	"District of Columbia"	"11"	"2021"	"2021"	"May"	"5"	711
	"District of Columbia"	"11"	"2021"	"2021"	"June"	"6"	688
	"District of Columbia"	"11"	"2021"	"2021"	"July"	"7"	742
	"District of Columbia"	"11"	"2021"	"2021"	"August"	"8"	735
	"District of Columbia"	"11"	"2021"	"2021"	"September"	"9"	813
	"District of Columbia"	"11"	"2021"	"2021"	"October"	"10"	751
	"District of Columbia"	"11"	"2021"	"2021"	"November"	"11"	809
	"District of Columbia"	"11"	"2021"	"2021"	"December"	"12"	706
"Total"	"District of Columbia"	"11"	"2021"	"2021"			8660
	"District of Columbia"	"11"	"2022"	"2022"	"January"	"1"	706
	"District of Columbia"	"11"	"2022"	"2022"	"February"	"2"	609
	"District of Columbia"	"11"	"2022"	"2022"	"March"	"3"	673
	"District of Columbia"	"11"	"2022"	"2022"	"April"	"4"	633
	"District of Columbia"	"11"	"2022"	"2022"	"May"	"5"	626
	"District of Columbia"	"11"	"2022"	"2022"	"June"	"6"	690
	"District of Columbia"	"11"	"2022"	"2022"	"July"	"7"	686
	"District of Columbia"	"11"	"2022"	"2022"	"August"	"8"	764
	"District of Columbia"	"11"	"2022"	"2022"	"September"	"9"	662
	"District of Columbia"	"11"	"2022"	"2022"	"October"	"10"	656
	"District of Columbia"	"11"	"2022"	"2022"	"November"	"11"	662
	"District of Columbia"	"11"	"2022"	"2022"	"December"	"12"	708
"Total"	"District of Columbia"	"11"	"2022"	"2022"			8075
"Total"	"District of Columbia"	"11"					25609
	"Florida"	"12"	"2020"	"2020"	"January"	"1"	18194
	"Florida"	"12"	"2020"	"2020"	"February"	"2"	16741
	"Florida"	"12"	"2020"	"2020"	"March"	"3"	17194
	"Florida"	"12"	"2020"	"2020"	"April"	"4"	16566
	"Florida"	"12"	"2020"	"2020"	"May"	"5"	16892
	"Florida"	"12"	"2020"	"2020"	"June"	"6"	16906
	"Florida"	"12"	"2020"	"2020"	"July"	"7"	17864
	"Florida"	"12"	"2020"	"2020"	"August"	"8"	18124
	"Florida"	"12"	"2020"	"2020"	"September"	"9"	18193
	"Florida"	"12"	"2020"	"2020"	"October"	"10"	18091
	"Florida"	"12"	"2020"	"2020"	"November"	"11"	17183
	"Florida"	"12"	"2020"	"2020"	"December"	"12"	17723
"Total"	"Florida"	"12"	"2020"	"2020"			209671
	"Florida"	"12"	"2021"	"2021"	"January"	"1"	16542
	"Florida"	"12"	"2021"	"2021"	"February"	"2"	16082
	"Florida"	"12"	"2021"	"2021"	"March"	"3"	17226
	"Florida"	"12"	"2021"	"2021"	"April"	"4"	16753
	"Florida"	"12"	"2021"	"2021"	"May"	"5"	16919
	"Florida"	"12"	"2021"	"2021"	"June"	"6"	17483
	"Florida"	"12"	"2021"	"2021"	"July"	"7"	18488
	"Florida"	"12"	"2021"	"2021"	"August"	"8"	19586
	"Florida"	"12"	"2021"	"2021"	"September"	"9"	20025
	"Florida"	"12"	"2021"	"2021"	"October"	"10"	19529
	"Florida"	"12"	"2021"	"2021"	"November"	"11"	18398
	"Florida"	"12"	"2021"	"2021"	"December"	"12"	19229
"Total"	"Florida"	"12"	"2021"	"2021"			216260
	"Florida"	"12"	"2022"	"2022"	"January"	"1"	18496
	"Florida"	"12"	"2022"	"2022"	"February"	"2"	17037
	"Florida"	"12"	"2022"	"2022"	"March"	"3"	18842
	"Florida"	"12"	"2022"	"2022"	"April"	"4"	17107
	"Florida"	"12"	"2022"	"2022"	"May"	"5"	17311
	"Florida"	"12"	"2022"	"2022"	"June"	"6"	18099
	"Florida"	"12"	"2022"	"2022"	"July"	"7"	19224
	"Florida"	"12"	"2022"	"2022"	"August"	"8"	20825
	"Florida"	"12"	"2022"	"2022"	"September"	"9"	18962
	"Florida"	"12"	"2022"	"2022"	"October"	"10"	19144
	"Florida"	"12"	"2022"	"2022"	"November"	"11"	19569
	"Florida"	"12"	"2022"	"2022"	"December"	"12"	19817
"Total"	"Florida"	"12"	"2022"	"2022"			224433
"Total"	"Florida"	"12"					650364
	"Georgia"	"13"	"2020"	"2020"	"January"	"1"	10652
	"Georgia"	"13"	"2020"	"2020"	"February"	"2"	9502
	"Georgia"	"13"	"2020"	"2020"	"March"	"3"	10049
	"Georgia"	"13"	"2020"	"2020"	"April"	"4"	9710
	"Georgia"	"13"	"2020"	"2020"	"May"	"5"	10039
	"Georgia"	"13"	"2020"	"2020"	"June"	"6"	10099
	"Georgia"	"13"	"2020"	"2020"	"July"	"7"	10657
	"Georgia"	"13"	"2020"	"2020"	"August"	"8"	11039
	"Georgia"	"13"	"2020"	"2020"	"September"	"9"	10592
	"Georgia"	"13"	"2020"	"2020"	"October"	"10"	10232
	"Georgia"	"13"	"2020"	"2020"	"November"	"11"	9604
	"Georgia"	"13"	"2020"	"2020"	"December"	"12"	10298
"Total"	"Georgia"	"13"	"2020"	"2020"			122473
	"Georgia"	"13"	"2021"	"2021"	"January"	"1"	9660
	"Georgia"	"13"	"2021"	"2021"	"February"	"2"	9072
	"Georgia"	"13"	"2021"	"2021"	"March"	"3"	10140
	"Georgia"	"13"	"2021"	"2021"	"April"	"4"	9821
	"Georgia"	"13"	"2021"	"2021"	"May"	"5"	9872
	"Georgia"	"13"	"2021"	"2021"	"June"	"6"	10350
	"Georgia"	"13"	"2021"	"2021"	"July"	"7"	10941
	"Georgia"	"13"	"2021"	"2021"	"August"	"8"	11251
	"Georgia"	"13"	"2021"	"2021"	"September"	"9"	11145
	"Georgia"	"13"	"2021"	"2021"	"October"	"10"	10711
	"Georgia"	"13"	"2021"	"2021"	"November"	"11"	10200
	"Georgia"	"13"	"2021"	"2021"	"December"	"12"	10910
"Total"	"Georgia"	"13"	"2021"	"2021"			124073
	"Georgia"	"13"	"2022"	"2022"	"January"	"1"	10401
	"Georgia"	"13"	"2022"	"2022"	"February"	"2"	9586
	"Georgia"	"13"	"2022"	"2022"	"March"	"3"	10675
	"Georgia"	"13"	"2022"	"2022"	"April"	"4"	9618
	"Georgia"	"13"	"2022"	"2022"	"May"	"5"	9861
	"Georgia"	"13"	"2022"	"2022"	"June"	"6"	10414
